,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mys shmidta,100,RU,1579657745,88,62.06,48.62,26.96,10.92
1,egvekinot,99,RU,1579657746,96,66.32,-179.17,-13.9,4.61
2,punta arenas,55,PH,1579657746,65,8.99,125.34,81.19,3.15
3,kapaa,20,US,1579657746,65,22.08,-159.32,80.6,9.17
4,ormara,24,PK,1579657746,56,25.21,64.64,71.65,13.96
5,nadym,100,RU,1579657746,92,65.53,72.52,4.08,18.41
6,tuktoyaktuk,5,CA,1579657746,74,69.45,-133.04,-27.4,8.05
7,albany,20,US,1579657450,56,42.6,-73.97,19.99,3.96
8,new norfolk,75,LR,1579657746,94,6.65,-10.59,77.0,1.3
9,mombetsu,40,JP,1579657746,74,44.35,143.35,32.0,6.93
11,vila franca do campo,0,PT,1579657746,75,42.03,-8.16,48.99,1.12
12,gopalpur,32,IN,1579657747,65,19.27,84.92,75.02,1.1
13,pevek,100,RU,1579657747,93,69.7,170.31,-13.65,1.72
16,qidong,100,CN,1579657747,89,31.81,121.66,52.0,2.53
17,hami,89,CN,1579657701,86,42.8,93.45,10.04,1.92
19,jiuquan,0,CN,1579657747,33,39.74,98.52,20.48,3.0
22,mar del plata,90,ES,1579657747,93,43.4,-4.01,46.99,2.24
24,torbay,20,CA,1579657748,72,47.67,-52.73,15.01,5.82
25,ilulissat,94,GL,1579657748,60,69.22,-51.1,10.4,6.93
27,butaritari,33,KI,1579657748,62,3.07,172.79,84.83,4.5
28,mandera,67,KE,1579657748,45,3.94,41.87,77.49,9.31
30,fortuna,1,US,1579657748,76,40.6,-124.16,51.8,4.7
33,norman wells,100,US,1579657749,64,35.22,-97.44,42.01,14.99
34,lagoa,100,PT,1579657749,68,39.05,-27.98,58.71,22.48
35,palm coast,75,AT,1579657749,92,47.64,16.11,30.99,3.36
36,high level,1,US,1579657749,60,33.61,-95.75,42.8,11.41
39,san jose,86,ML,1579657502,21,13.3,-4.9,75.22,7.23
41,bantva,6,IN,1579657749,39,21.49,70.07,61.83,12.21
43,sorland,40,NO,1579657750,59,67.67,12.69,37.4,13.87
45,khatanga,100,RU,1579657750,98,71.97,102.5,-24.86,5.75
46,bell ville,1,US,1579657750,46,31.05,-97.47,55.4,6.93
49,khani,90,GE,1579657750,100,41.96,42.96,37.4,3.36
52,westport,1,US,1579657750,35,41.14,-73.36,30.99,4.7
55,victoria,40,HK,1579657502,82,22.29,114.16,70.0,6.93
56,wuwei,0,CN,1579657751,34,37.93,102.64,30.99,1.19
57,ridgecrest,40,US,1579657751,43,35.62,-117.67,55.99,4.7
58,puerto ayora,90,ES,1579657751,81,36.59,-6.23,48.2,3.36
59,grand river south east,90,US,1579657574,92,38.88,-109.5,30.99,4.68
61,vostok,100,RU,1579657751,89,46.49,135.88,15.13,6.8
62,hasaki,75,JP,1579657624,64,35.73,140.83,41.0,10.29
63,hovd,57,MN,1579657751,53,48.01,91.64,5.92,4.09
64,pacific grove,1,US,1579657751,68,38.48,-90.74,28.99,6.93
67,qaanaaq,0,GL,1579657752,48,77.48,-69.36,-14.67,5.75
68,ulaangom,40,MN,1579657752,83,49.98,92.07,-7.78,1.7
71,yeghegnavan,20,AM,1579657752,58,39.84,44.63,26.6,5.82
73,russell,1,US,1579657752,48,32.35,-85.2,33.8,3.36
76,boa viagem,100,CM,1579657752,90,4.43,8.97,76.39,3.04
77,boguchany,0,RU,1579657752,93,58.38,97.45,-23.4,3.69
78,talnakh,100,RU,1579657635,74,69.49,88.4,-23.8,8.95
79,aklavik,20,CA,1579657753,75,68.22,-135.01,-16.6,5.82
80,harlingen,90,US,1579657753,59,26.19,-97.7,64.99,10.29
81,tomatlan,0,MX,1579657753,87,19.93,-105.25,68.83,2.13
82,kitimat,75,CA,1579657520,92,54.05,-128.65,32.0,5.82
